BARRIDO_SIMULATED_ANNEALING
runs,F-Measure
1,0.7707018311914166
2,0.7707018311914166
3,0.7707018311914166
4,0.7707018311914166
5,0.7707018311914166
6,0.7707018311914166
7,0.7707018311914166
8,0.7707018311914166
9,0.7707018311914166
10,0.7707018311914166
11,0.7707018311914166
12,0.7707018311914166
13,0.7707018311914166
14,0.7707018311914166
15,0.7707018311914166
16,0.7707018311914166
17,0.7707018311914166
18,0.7707018311914166
19,0.7707018311914166
20,0.7707018311914166
21,0.7707018311914166
22,0.7707018311914166
23,0.7707018311914166
24,0.7707018311914166
25,0.7707018311914166
26,0.7707018311914166
27,0.7707018311914166
28,0.7707018311914166
29,0.7707018311914166
30,0.7707018311914166
31,0.7707018311914166
32,0.7707018311914166
33,0.7707018311914166
34,0.7707018311914166
35,0.7707018311914166
36,0.7707018311914166
37,0.7707018311914166
38,0.7707018311914166
39,0.7707018311914166
40,0.7707018311914166
41,0.7707018311914166
42,0.7707018311914166
43,0.7707018311914166
44,0.7707018311914166
45,0.7707018311914166
46,0.7707018311914166
47,0.7707018311914166
48,0.7707018311914166
49,0.7707018311914166
50,0.7707018311914166
51,0.7707018311914166
52,0.7707018311914166
53,0.7707018311914166
54,0.7707018311914166
55,0.7707018311914166
56,0.7707018311914166
57,0.7707018311914166
58,0.7707018311914166
59,0.7707018311914166
60,0.7707018311914166
61,0.7707018311914166
62,0.7707018311914166
63,0.7707018311914166
64,0.7707018311914166
65,0.7707018311914166
66,0.7707018311914166
67,0.7707018311914166
68,0.7707018311914166
69,0.7707018311914166
70,0.7707018311914166
71,0.7707018311914166
72,0.7707018311914166
73,0.7707018311914166
74,0.7707018311914166
75,0.7707018311914166
76,0.7707018311914166
77,0.7707018311914166
78,0.7707018311914166
79,0.7707018311914166
80,0.7707018311914166
81,0.7707018311914166
82,0.7707018311914166
83,0.7707018311914166
84,0.7707018311914166
85,0.7707018311914166
86,0.7707018311914166
87,0.7707018311914166
88,0.7707018311914166
89,0.7707018311914166
90,0.7707018311914166
91,0.7707018311914166
92,0.7707018311914166
93,0.7707018311914166
94,0.7707018311914166
95,0.7707018311914166
96,0.7707018311914166
97,0.7707018311914166
98,0.7707018311914166
99,0.7707018311914166
100,0.7707018311914166
101,0.7707018311914166
102,0.7707018311914166
103,0.7707018311914166
104,0.7707018311914166
105,0.7707018311914166
106,0.7707018311914166
107,0.7707018311914166
108,0.7707018311914166
109,0.7707018311914166
110,0.7707018311914166
111,0.7707018311914166
112,0.7707018311914166
113,0.7707018311914166
114,0.7707018311914166
115,0.7707018311914166
116,0.7707018311914166
117,0.7707018311914166
118,0.7707018311914166
119,0.7707018311914166
120,0.7707018311914166
121,0.7707018311914166
122,0.7707018311914166
